Date,Close,High,Low,Open,Volume,Peaklabel
2020-01-03,5.876163005828857,5.919972391625994,5.827126404235172,5.8520181115010415,205384000,0
2020-01-06,5.900805950164795,5.906033166396497,5.756683859907929,5.782819941066442,262636000,0
2020-01-07,5.972243309020996,6.018043869959242,5.884126996951662,5.929180745106984,314856000,0
2020-01-08,5.983445167541504,6.02476533080806,5.927936984247167,5.968012301157384,277108000,0
2020-01-09,6.049159526824951,6.121594208507884,5.995393743948689,6.069819610250797,255112000,0
2020-01-10,6.081518173217773,6.186809770808669,6.0673301525191965,6.156442070101162,316296000,0
2020-01-13,6.272188186645508,6.297328672209286,6.142004881392839,6.1646566236309255,319840000,1
2020-01-14,6.155198574066162,6.254764936804578,6.142005668991298,6.229375193836621,359088000,0
2020-01-15,6.112633228302002,6.190295129500702,6.086745927902435,6.167892639740698,263104000,0
2020-01-16,6.196269512176514,6.2022435414382375,6.142752503002225,6.166150586456533,284192000,0
2020-01-17,6.204979419708252,6.222901501371404,6.157436456035932,6.215433848652664,253792000,0
2020-01-21,6.171627044677734,6.205230781169707,6.137525274594158,6.168391013256984,217916000,0
2020-01-22,6.225641250610352,6.312263957542838,6.198011544974662,6.216929224037822,239240000,0
2020-01-23,6.294093132019043,6.302556379249734,6.176853941628619,6.265717088011191,244516000,1
2020-01-24,6.2348504066467285,6.459372829803873,6.1805865955994514,6.409589421091371,373512000,0
2020-01-27,5.9789652824401855,6.029993067760032,5.780578915631967,5.930177461123902,470536000,-1
2020-01-28,6.1723737716674805,6.204732661114455,5.991660220223614,6.044928449138789,310976000,0
2020-01-29,6.111886501312256,6.194028800283632,6.072059486118129,6.15793584965853,258848000,0
2020-01-30,6.1186065673828125,6.132048249631274,5.959051634143337,6.014061785212936,290504000,0
2020-01-31,5.885124206542969,6.084754962077711,5.843306477363866,6.072806903806579,370420000,-1
2020-02-03,5.982202529907227,6.001617770811708,5.860731222841778,5.866954032117835,255564000,0
2020-02-04,6.151463985443115,6.170630918127771,6.074051340845975,6.124083534751858,271544000,0
2020-02-05,6.241821765899658,6.282643906546109,6.158434604289566,6.2724382526920195,208220000,0
2020-02-06,6.32869291305542,6.32869291305542,6.195025252182283,6.276171970118203,218284000,0
2020-02-07,6.262481689453125,6.3107714846565175,6.237091945195937,6.2886177719797365,189752000,0
2020-02-10,6.54574728012085,6.546493618262871,6.280153451840384,6.285131888072721,529608000,0
2020-02-11,6.668214321136475,6.782964771080069,6.592046043560209,6.654026298752604,638556000,0
2020-02-12,6.783960342407227,6.790432405067395,6.682153543370366,6.720984495021811,374644000,0
