Date,Close,High,Low,Open,Volume,Peaklabel,dayofweek,is_month_end,ma_5,ma_10,ma_ratio,return_1,return_5,diff,rsi,macd,macd_signal,bb_upper,bb_lower,bb_width,vol_ma_5,vol_change
1999-01-25,0.04154682531952858,0.04202360419507445,0.03760696960878922,0.04059142994120314,510480000,0,0,0,,,,,,0.0009553953783254382,,0.0,0.0,,,,,
1999-01-26,0.038323063403367996,0.04285981060365109,0.037726169183636096,0.042023611506557916,343200000,0,1,0,,,,-0.07759345970160791,,-0.00370054810318992,,-0.00025716619274215174,-5.143323854843035e-05,,,,,-0.3276915843911613
1999-01-27,0.03820386901497841,0.03939765410311885,0.0362930812385575,0.038442258507076006,244368000,0,2,0,,,,-0.0031102520989778615,,-0.00023838949209759736,,-0.0004652273924801373,-0.00013419206933477175,,,,,-0.2879720279720279
1999-01-28,0.0380837582051754,0.03844225955912675,0.03784536870655379,0.03820387006050514,227520000,0,3,0,,,,-0.003143943608327149,,-0.00012011185532974367,,-0.0006325180563904187,-0.00023385726674590113,,,,,-0.06894519740718918
1999-01-29,0.03629307448863983,0.03820386190968556,0.03629307448863983,0.03808375007998176,244032000,0,4,0,0.038490118086338045,,0.9429192814433571,-0.04701961678488498,,-0.0017906755913419253,,-0.0008992246216689495,-0.00036693073773051086,,,,313920000.0,0.07257383966244735
1999-02-01,0.03701009228825569,0.03724848183421088,0.03629308943798805,0.03629308943798805,154704000,0,0,0,0.03758277148008347,,0.9847621883838115,0.019756325682473985,-0.10919566047181106,0.0007170028502676423,,-0.0010407371817136093,-0.0005016920265271306,,,,242764800.0,-0.36605035405192765
1999-02-02,0.034144818782806396,0.03724847650646909,0.03307023005947428,0.03629308424689837,264096000,-1,1,0,0.036747122555971144,,0.9291834681966985,-0.07741870739291634,-0.10902689528192566,-0.0021482654640919766,,-0.0013683174194287218,-0.0006750171051074489,,,,226944000.0,0.7071051815079119
1999-02-03,0.034860916435718536,0.03533861441452407,0.033427825914968,0.03366713431145774,75120000,0,2,0,0.03607853204011917,,0.9662509660025345,0.020972366480173976,-0.08750298504973975,0.0011937821242607935,,-0.001552250642825874,-0.000850463812651134,,,,193094400.0,-0.7155579789167575
1999-02-04,0.0367707759141922,0.03772616801344324,0.03486090028244486,0.03533859803990262,181920000,0,3,0,0.03581593558192253,,1.0266596507045207,0.05478511966245447,-0.03447617443398143,0.001432177874289578,,-0.00152631494044881,-0.0009856340382106692,,,,183974400.0,1.4217252396166136
1999-02-05,0.03784537315368652,0.03820387454976464,0.03641319836596217,0.037367675286458624,136848000,1,4,0,0.03612639531493187,0.03730825670063496,1.047582323776548,0.029224219853341893,0.04277120874762419,0.00047769786722789975,,-0.0014028781865418963,-0.0010690828678769147,,,,162537600.0,-0.2477572559366754
1999-02-08,0.03653237596154213,0.03820385838251606,0.03653237596154213,0.03808374656390157,154080000,0,0,0,0.036030852049589154,0.036806811764836314,1.0139192909249752,-0.03469373090370742,-0.012907731301852299,-0.0015513706023594434,,-0.001394921780016184,-0.0011342506503047686,,,,162412800.0,0.12592072956857248
1999-02-09,0.03509929031133652,0.03748686009042383,0.03462159259278438,0.03724846722232024,86976000,0,1,0,0.03622174635529518,0.036484434455633166,0.9690115425979572,-0.03922782497678856,0.02795362700857984,-0.0021491769109837217,,-0.001487111806486613,-0.0012048228815411375,,,,126988800.0,-0.4355140186915888
